# Pick&Place Position Data File
#
# Project Name:        kbdkid3
# Project Version:     v1
# Board Name:          reversible
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-06-30T21:54:53
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
S122,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,33.02,90.0,Top,SMT
S123,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,13.97,90.0,Top,SMT
S130,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,73.50125,90.0,Top,SMT
S131,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,54.45125,90.0,Top,SMT
S132,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,35.40125,90.0,Top,SMT
S133,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,16.35125,90.0,Top,SMT
S140,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,71.12,90.0,Top,SMT
S141,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,52.07,90.0,Top,SMT
S142,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,33.02,90.0,Top,SMT
S143,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,13.97,90.0,Top,SMT
S150,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,68.73875,90.0,Top,SMT
S151,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,49.68875,90.0,Top,SMT
S152,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,30.63875,90.0,Top,SMT
S153,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,11.58875,90.0,Top,SMT
S163,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,123.34875,9.2075,90.0,Top,SMT
S3,B3U-1000P(M),B3U-1000P(M),OMRON_B3U-1000P(M),124.221875,62.309375,270.0,Top,SMT
U1,nice!nano v2.0,nice!nano v2.0,NICE_NICENANO,124.84875,41.5925,0.0,Top,THT
